addr,date_time,name,num2_bed,num_scan,pid,region_big,region_small,tel,type
칠원읍 예곡1길 13 새롬재활요양병원,2024-02-29 00:00:00,새롬재활요양병원(의료법인유천의료재단),576,6,241,경남,함안군,055-580-5800,요양병원
경강로 2109 (임당동) 문선빌딩 3층,2024-06-03 00:00:00,박정빈외과의원,4,4,242,강원,강릉시,033-648-0080,의원
솔올로5번길 40 (교동) 엘림빌딩2층,2024-06-04 00:00:00,이명호내과의원,0,2,243,강원,강릉시,033-645-7747,의원
좌수영로 49 (광무동) (광무동120-1) 원무부,2026-01-27 00:00:00,여수전남병원,283,19,244,전남,여수시,061-640-7575,종합병원
장안구 창룡대로 159 (연무동) 다인병원,2024-11-08 00:00:00,다인병원,91,6,245,경기,수원시,031-8014-1300,병원
영암읍 동문로 5 하나안과의원,2025-12-04 00:00:00,하나안과의원,0,1,246,전남,영암군,061-471-2007,의원
국채보상로 769,2024-10-17 00:00:00,바로본병원,195,7,247,대구,동구,1644-8575,병원
"수인로3325번길 10 (신천동, 우명프라자) 우명프라자3층",2025-02-25 00:00:00,(의)자운의료재단강남요양병원,75,6,248,경기,시흥시,031-311-0700,요양병원
해운대로 135(재송동),2024-11-01 00:00:00,효성시티병원,149,7,249,부산,해운대구,051-709-3000,병원
양화로 133 (서교동) 서교타워빌딩 5층,2025-01-23 00:00:00,서울본내과의원,0,5,250,서울,마포구,02-3143-2220,의원
"경충대로 2742 (관고동, 경기도립의료원이천병원)",2025-01-23 00:00:00,경기도의료원 이천병원,206,5,251,경기,이천시,031-639-4800,종합병원
수정구 성남대로 1171 (수진동) 성모윌병원,2025-01-23 00:00:00,성모윌병원,110,6,252,경기,성남시,1833-7512,병원
산본로 321,2025-03-06 00:00:00,원광대학교 산본병원,200,20,253,경기,군포시,031-390-2300,종합병원
소안면 비자리 소안비자1186-47,2025-02-06 00:00:00,완도소안의원,4,16,254,전남,완도군,061-554-8119,의원
고산면 고산로 81 2층,2025-02-21 00:00:00,한솔의원,0,1,255,전북,완주군,063-262-0034,의원
의림대로 153 (의림동) 3층,2025-04-11 00:00:00,노병연내과의원,0,1,256,충북,제천시,043-644-6670,의원
왕산로 137 (제기동) 서울나은병원,2025-07-08 00:00:00,서울나은병원,72,5,257,서울,동대문구,1544-6003,병원
영해면 영덕로 1621,2025-04-15 00:00:00,영덕아산병원,62,2,258,경북,영덕군,054-730-0114,병원
용마산로 503 (망우동) 성심빌딩 2.3.4.5층,2025-07-08 00:00:00,건강한성심의원,29,1,259,서울,중랑구,02-437-6152,의원
오산로 307 조은오산병원,2025-07-08 00:00:00,조은오산병원,219,6,260,경기,오산시,1544-5355,종합병원
북구 대신로 27 (대신동) 좋은선린요양병원,2025-09-16 00:00:00,좋은선린요양병원,374,8,261,경북,포항시,054-245-6000,요양병원
방어진순환도로 651 (일산동) 3층,2025-12-12 00:00:00,신내과의원,16,3,262,울산,동구,052-252-9477,의원
계동로 237 (대청동) 메가병원,2025-12-15 00:00:00,의료법인지평의료재단 메가병원,203,10,263,경남,김해시,055-903-9000,병원
평화로 622 (의정부동) 성베드로병원,2025-07-08 00:00:00,(의)희경의료재단 성베드로병원,124,6,264,경기,의정부시,1544-1131,병원
영산로 5419 (성북동) 신관3층 나주비뇨기과의원,2024-02-07 00:00:00,나주비뇨기과의원,2,8,265,전남,나주시,061-334-8822,의원
남일로 33,2024-03-20 00:00:00,(의)승연의료재단 삼천포서울병원,304,13,266,경남,사천시,055-835-9900,병원
강화읍 충렬사로 31 비에스종합병원,2024-07-18 00:00:00,비에스종합병원,246,16,267,인천,강화군,032-290-0001,종합병원
물금읍 증산역로 152,2024-04-12 00:00:00,연세빛가정의학과의원,9,6,268,경남,양산시,055-382-7119,의원
합천읍 대야로 876 삼성합천병원,2024-03-28 00:00:00,(의)용성의료재단 삼성합천병원,133,7,269,경남,합천군,055-933-2200,병원
양양읍 양양로 62-1 2층 상명내과의원,2024-06-04 00:00:00,상명내과의원,0,4,270,강원,양양군,033-672-8712,의원
"별양로 12 (원문동, 래미안 슈르) 래미안슈르상가 B동 3층",2024-06-04 00:00:00,탑내과의원,0,2,271,경기,과천시,031-502-8833,의원
"호국로 1336 (의정부동) 5,6,7 층 윤석주내과",2024-06-03 00:00:00,윤석주내과의원,0,2,272,경기,의정부시,031-843-3000,의원
월드컵대로 3 (연산동) 신리메디컬 4층,2024-09-24 00:00:00,보강재활의학과의원,0,4,273,부산,연제구,051-851-8275,의원
삼향읍 남악4로 86,2024-05-21 00:00:00,남악하나내과의원,0,2,274,전남,무안군,061-280-4800,의원
염산면 천년로 20-1,2024-10-07 00:00:00,서울연합의원,0,7,275,전남,영광군,061-351-9530,의원
순창읍 순창5길15,2024-06-21 00:00:00,대동의원,0,3,276,전북,순창군,063-653-2828,의원
경동로 847 (용상동) 용상황금연합의원 1층,2024-06-05 00:00:00,용상황금연합의원,0,12,277,경북,안동시,054-822-7500,의원
동탄지성로 113 (반송동) 동탄시티병원,2024-08-08 00:00:00,동탄시티병원,90,8,278,경기,화성시,031-8015-3333,병원
신음1길 12 (신음동) 김천제일병원,2024-09-23 00:00:00,덕산의료재단 김천제일병원,240,17,279,경북,김천시,054-420-3438,종합병원
고산로 693 (산본동) 하나로빌딩 3층 김성진내과,2025-02-25 00:00:00,김성진내과의원,0,1,280,경기,군포시,031-347-4800,의원
단원구 광덕대로 154 (고잔동) 로데오타운 A동 2층 더베스트내과,2025-02-25 00:00:00,더베스트내과의원,0,3,281,경기,안산시,031-487-1119,의원
"영통구 매영로 84 (매탄동, 한국아파트) 한국2차아파트 상가동 207호 코코이비인후과",2025-02-25 00:00:00,코코이비인후과의원,0,4,282,경기,수원시,031-212-7572,의원
기흥구 보정로 115 (보정동) 우영프라자 4층,2025-02-25 00:00:00,비젼내과의원,0,2,283,경기,용인시,031-896-3000,의원
안견로 190 (동문동) 2층 수내과의원,2024-11-19 00:00:00,수내과의원,0,16,284,충남,서산시,041-667-8600,의원
의령읍 의병로 217 덕영내과,2024-11-01 00:00:00,덕영내과의원,0,7,285,경남,의령군,055-574-0071,의원
서문대로 725 (진월동) 2층,2024-11-12 00:00:00,힐링연합의원,0,6,286,광주,남구,062-651-8600,의원
수북면 추성1로 736 나눔내과의원,2024-11-12 00:00:00,나눔내과의원,29,1,287,전남,담양군,070-5176-1046,의원
화순읍 자치샘로 36 옥천빌딩 2층,2024-11-12 00:00:00,한양내과의원,0,5,288,전남,화순군,061-374-0333,의원
강진읍 평동2길 30 지스퀘어1층,2024-11-12 00:00:00,오케이내과의원,29,7,289,전남,강진군,061-434-3900,의원
"해남읍 중앙1로 2-14 2층, 해남복음내과의원",2024-11-12 00:00:00,해남복음내과의원,0,1,290,전남,해남군,061-534-7504,의원
무왕로 1073 (영등동) (영등동) 하나은행 2층,2024-11-25 00:00:00,김종성비뇨기과의원,1,2,291,전북,익산시,063-834-7722,의원
임실읍봉황로 159 임실내과,2024-11-04 00:00:00,임실내과의원,0,3,292,전북,임실군,063-644-7575,의원
장계면 한들로 93 참가정의학과의원,2024-11-04 00:00:00,참가정의학과의원,0,8,293,전북,장수군,063-351-7277,의원
영암읍 중앙로 66,2024-11-25 00:00:00,서울정형외과의원(영암),0,1,294,전남,영암군,061-473-2000,의원
부안읍 부풍로 48-1,2024-11-25 00:00:00,현대가정의학과의원,0,5,295,전북,부안군,063-584-6393,의원
동안구 시민대로 187,2025-02-25 00:00:00,권태우정형외과의원,0,1,296,경기,안양시,031-388-2198,의원
아리수로 570,2025-02-25 00:00:00,박지영내과의원,0,4,297,경기,하남시,031-793-1475,의원
"남원로 665 선일빌딩 1층일부,2,3,4층",2025-02-25 00:00:00,손경수내과의원,0,2,298,강원,원주시,033-763-8252,의원
북면 원통로 218 한림의원,2025-02-25 00:00:00,한림의원,0,3,299,강원,인제군,033-462-4261,의원
화천읍 중앙로 19-1 화천내과의원,2025-02-25 00:00:00,화천내과의원,0,3,300,강원,화천군,033-442-8001,의원
횡성읍 태기로19번길 14 태기로19번길14,2025-02-25 00:00:00,횡성정형외과의원,26,5,301,강원,횡성군,033-343-5337,의원
예천읍 효자로 125 영남의원,2024-10-17 00:00:00,영남의원,3,5,302,경북,예천군,054-653-7583,의원
고성읍 송학로 122번길 19-2 1층 정일성의원,2024-10-24 00:00:00,정일성의원,0,12,303,경남,고성군,055-673-8866,의원
거창읍 강남로 194 고려정형외과의원,2024-10-24 00:00:00,고려정형외과의원(거창),0,5,304,경남,거창군,055-943-9811,의원
서장대로213번길 5 (이현동) 성심메디컬의원,2024-10-24 00:00:00,성심메디컬의원,20,6,305,경남,진주시,055-746-5538,의원
함양읍 용평길 44 한마음연합의원,2024-10-24 00:00:00,한마음연합의원,22,12,306,경남,함양군,055-964-2301,의원
건원대로3 흥화브라운오피스텔 4층,2025-02-25 00:00:00,서울비뇨기과의원(구리점),0,1,307,경기,구리시,031-523-9000,의원
늘을2로 20 (호평동) 4층 청담비뇨기과,2025-02-25 00:00:00,청담비뇨기과의원,0,1,308,경기,남양주시,031-592-3698,의원
양평읍 시민로 6-1 보원 메디컬 3층 새벽 피부비뇨기과,2025-02-25 00:00:00,새벽의원,0,2,309,경기,양평군,031-774-6247,의원
전곡읍 전곡로 166 강비뇨기과의원,2025-02-25 00:00:00,강비뇨기과의원(연천),0,2,310,경기,연천군,031-835-0108,의원
소흘읍 솔모루로 114,2025-02-25 00:00:00,한성내과의원,0,2,311,경기,포천시,031-532-2375,의원
진영읍 진영로454번길 102-10 한서재활요양병원,2025-02-05 00:00:00,의)한솔의료재단 한서재활요양병원,292,7,312,경남,김해시,055-346-1222,요양병원
보은읍 삼산남로 9 민들레안과,2024-11-19 00:00:00,민들레안과의원,1,1,313,충북,보은군,043-542-7588,의원
노은로 170 (지족동) 스타시티 3층,2024-11-19 00:00:00,메디안내과의원,0,1,314,대전,유성구,042-867-8275,의원
"옥천읍 삼금로 11 2층, 드림이비인후과의원",2024-11-19 00:00:00,드림이비인후과의원,0,5,315,충북,옥천군,043-733-5800,의원
서북구 직산읍 봉주로 51 JS메디칼의원,2024-11-19 00:00:00,JS메디칼내과외과정형외과의원,29,3,316,충남,천안시,041-589-7575,의원
영월읍 중앙1로 32 성윤업내과의원,2025-01-08 00:00:00,성윤업내과의원,0,2,317,강원,영월군,033-374-0871,의원
동해대로 4163 (조양동) 닥터음가정의학과의원,2025-01-08 00:00:00,닥터음가정의학과의원,0,1,318,강원,속초시,033-633-3773,의원
단원구 예술대학로 9,2025-01-08 00:00:00,윤이비인후과의원,0,1,319,경기,안산시,031-401-4172,의원
남해읍 화전로 85 연세안과 의원,2025-02-05 00:00:00,연세안과의원,0,1,320,경남,남해군,055-862-0357,의원
창녕읍 창녕대로 122 창녕서울병원,2025-02-05 00:00:00,의)창녕서울의료원 창녕서울병원,11,3,321,경남,창녕군,055-532-1975,병원
"창녕읍 군청길 18,  501,502호(성동빌딩)",2025-02-05 00:00:00,창녕원이비인후과의원,0,1,322,경남,창녕군,055-533-2224,의원
강서로 173 터보빌딩 5층,2025-01-08 00:00:00,강서고려비뇨의학과의원,2,1,323,서울,강서구,02-2065-8822,의원
오목로 312 (목동) 우리내과의원 3층,2025-01-08 00:00:00,우리내과의원,0,2,324,서울,양천구,02-2648-5566,의원
소공로 70 (충무로1가) 포스트타워 지하3층 서울중앙의료의원,2025-02-06 00:00:00,서울중앙의료의원,0,7,325,서울,중구,02-6450-5500,의원
순광로 14 드림내과건물 5층,2025-02-06 00:00:00,하나비뇨기과의원,0,2,326,전남,순천시,061-722-8575,의원
신월로 735 (봉산동) 정남진정형외과,2025-02-06 00:00:00,정남진정형외과의원,5,6,327,전남,여수시,061-642-7878,의원
운천로 148 (쌍촌동) 2층,2025-02-06 00:00:00,문영래정형외과병원,50,3,328,광주,서구,062-606-8275,병원
고창읍 중앙로 230 이진홍내과의원,2025-02-06 00:00:00,이진홍내과의원,0,2,329,전북,고창군,063-564-1343,의원
산천단남길 10 (아라일동) 부속요양병원,2025-02-21 00:00:00,제주의료원 부속요양병원,185,6,330,제주,제주시,064-720-2106,요양병원
성산읍 고성오조로 67 1층,2024-12-16 00:00:00,최선365의원,0,10,331,제주,서귀포시,064-784-6333,의원
도봉로 446 (창동),2025-01-08 00:00:00,강북힘찬병원,152,6,332,서울,도봉구,02-1899-2226,병원
송파대로 345 5층 (가락동) 헬리오시티 상가 1A동 5002호,2026-01-21 00:00:00,드림권내과의원,0,3,333,서울,송파구,02-6224-7575,의원
가락로 166 (송파동) 3층,2025-01-08 00:00:00,시온정형외과의원,0,1,334,서울,송파구,02-415-7110,의원
양구읍 사명길 123 한사랑내과의원,2025-01-08 00:00:00,한사랑내과의원,0,7,335,강원,양구군,033-482-3566,의원
갈말읍 명성로 184 1층,2025-02-06 00:00:00,강남아이원안과의원,0,1,336,강원,철원군,033-455-7501,의원
경인로40길 12 (개봉동) 4층,2025-01-08 00:00:00,에스탑치과의원,0,1,337,서울,구로구,02-2612-7528,의원
탑신로 536,2025-01-08 00:00:00,경기도립노인전문동두천병원,197,4,338,경기,동두천시,031-860-4114,요양병원
추부면 마전로 56 추부의원,2024-11-19 00:00:00,추부의원,0,5,339,충남,금산군,041-752-9950,의원
금호읍 교대길 14 금호의원,2025-02-21 00:00:00,금호의원,0,7,340,경북,영천시,054-336-7117,의원
중앙로 195 (흥덕동) 용이비인후과의원,2025-02-21 00:00:00,용이비인후과의원,0,4,341,경북,문경시,054-556-7575,의원
달구벌대로 2395 (범어동) 준내과의원,2025-02-21 00:00:00,준내과의원,0,8,342,대구,수성구,053-746-0875,의원
청도읍 청화로 99,2025-02-21 00:00:00,마디연합정형외과의원,29,2,343,경북,청도군,054-373-9263,의원
군위읍 중앙길 100 고려마취통증의학과의원,2025-02-21 00:00:00,고려마취통증의학과의원,0,5,344,경북,군위군,054-382-0922,의원
"유가읍 테크노상업로 108 501호, 502호",2025-02-21 00:00:00,유가제일연합의원,0,13,345,대구,달성군,053-292-7582,의원
야은로 37-1 (부곡동),2025-02-21 00:00:00,구미시립노인요양병원,249,6,346,경북,구미시,054-440-1000,요양병원
남구오천읍 정몽주로 560,2025-02-21 00:00:00,우리연합의원,29,3,347,경북,포항시,054-292-9200,의원
진천읍 중앙북1길 11-4 바른정형외과,2025-04-18 00:00:00,바른정형외과의원,24,4,348,충북,진천군,043-533-7588,의원
상당구 단재로 21-1 (석교동),2025-04-18 00:00:00,김영태신경외과의원,29,7,349,충북,청주시,043-258-0173~4,의원
대전로 782 (원동),2025-04-18 00:00:00,덕인의원,0,5,350,대전,동구,042-272-4551,의원
증평읍 중앙로 231 고려정형외과,2025-04-18 00:00:00,고려정형외과의원(증평),0,5,351,충북,증평군,043-838-7501,의원
봉계1길 52 (칠금동) 박봉안내과의원,2022-12-20 00:00:00,박봉안내과의원,0,13,352,충북,충주시,043-847-7575,의원
평택로 284,2025-02-06 00:00:00,평택성모병원,350,15,353,경기,평택시,031-1800-8800,종합병원
동탄순환대로 127-5 (산척동) 5층 동탄서울내과,2025-01-23 00:00:00,동탄서울내과의원,0,4,354,경기,화성시,031-831-8363,의원
황지로 176-1 (황지동) 김병호내과의원,2025-01-23 00:00:00,김병호내과의원,0,2,355,강원,태백시,033-552-6997,의원
"청운1길 64, 301호(나안동)",2025-01-23 00:00:00,신세계의원,0,2,356,강원,동해시,033-533-3652,의원
사북읍 사북5길 1 제일의원,2025-01-23 00:00:00,사북제일의원,0,3,357,강원,정선군,033-592-3412,의원
영산로 515 (상동) 2층,2025-02-06 00:00:00,김태우신경과의원,0,6,358,전남,목포시,061-279-5500,의원
의성읍 문소3길 110,2025-02-12 00:00:00,오복치과의원,0,1,359,경북,의성군,054-833-7528,의원
금일읍 감목길 5,2025-02-05 00:00:00,금일마취통증의학과의원,20,8,360,전남,완도군,061-553-3577,의원
진안읍 진무로 1102 진안치과,2025-09-01 00:00:00,진안치과의원,0,1,361,전북,진안군,063-432-1771,의원
상도로 81 (대방동) 7층 성모정형외과,2025-03-06 00:00:00,성모정형외과의원,0,1,362,서울,동작구,02-817-7714,의원
동작대로 121 (사당동) 경원빌딩8층,2025-03-06 00:00:00,강남가드비뇨기과의원,0,1,363,서울,동작구,02-566-8330,의원
북면 울진북로 2067 누가의원,2025-02-12 00:00:00,누가의원,0,8,364,경북,울진군,054-782-4979,의원
청원구 오창읍 중심상업1로 54,2025-02-28 00:00:00,의)라온의료재단오창호수병원,145,2,365,충북,청주시,043-214-1004,병원
새내로 97 청춘메디컬 2층,2025-10-14 00:00:00,서울아산내과의원,0,1,366,세종,세종시,044-862-7559,의원
면목로 473 (상봉동) 강북21세기병원,2025-05-30 00:00:00,강북21세기병원,87,5,367,서울,중랑구,1577-6336,병원
흥덕구 월명로 15 (복대동) 원광효도요양병원,2025-04-11 00:00:00,청주원광효도요양병원,303,7,368,충북,청주시,043-267-0301,요양병원
웅진로 186 (산성동) 2층 공주서울내과의원,2025-05-07 00:00:00,공주서울내과의원,0,3,369,충남,공주시,041-853-7582,의원
홍천읍 신장대리 64-1,2025-07-08 00:00:00,서울정형외과의원(홍천),0,1,370,강원,홍천군,033-432-0129,의원
대명로 12 (대명동),2025-04-15 00:00:00,서부영남내과의원,0,1,371,대구,남구,053-656-7533,의원
"아양로 251 (신암동) 대동빌딩, 대동에스정형외과의원",2025-04-15 00:00:00,대동에스정형외과의원,0,1,372,대구,동구,053-943-2621,의원
중앙로 413 제일빌딩 302호,2023-06-28 00:00:00,밀양선비뇨기과의원,0,2,373,경남,밀양시,055-352-7512,의원
솔올로 35 (교동) 2층,2025-07-08 00:00:00,위드내과의원,0,1,374,강원,강릉시,033-641-9222,의원
"산대로 2 (산정동) 2, 2층",2024-10-17 00:00:00,우리이비인후과의원,0,1,375,전남,목포시,061-276-7373,의원
남부순환로350길 33 (양재동) 예루살렘정형외과,2025-07-08 00:00:00,예루살렘정형외과의원,13,1,376,서울,서초구,02-575-0123,의원
중앙로 82-1 (합정동) 2층,2025-07-08 00:00:00,로뎀나무내과의원,0,4,377,경기,평택시,031-654-1905,의원
영동읍 중앙로 28 노상필내과의원,2025-05-30 00:00:00,노상필내과의원,0,2,378,충북,영동군,043-770-7171,의원
달구벌대로 1883 (내당동) 1층,2025-07-08 00:00:00,서내과의원,0,4,379,대구,서구,053-556-4509,의원
하양읍 하양로 112 201호,2025-07-08 00:00:00,파티마연합속내과의원,0,1,380,경북,경산시,053-852-7500,의원
압해읍 압해로 871-3,2025-06-27 00:00:00,압해연합의원,0,17,381,전남,신안군,061-271-7583,의원
거제중앙로 1938,2025-06-24 00:00:00,주영민비뇨기과의원,0,2,382,경남,거제시,055-634-1365,의원
분성로 321 (서상동) 302호,2025-06-24 00:00:00,굿모닝내과의원,0,1,383,경남,김해시,055-335-3565,의원
사천읍 진삼로 1481 2층,2025-06-18 00:00:00,우리메디컬의원,29,3,384,경남,사천시,055-850-7575,의원
화랑로 80 (서부동) 박경대내과의원,2025-07-08 00:00:00,박경대내과의원,0,2,385,경북,경주시,054-774-3337,의원
곡성읍 중앙로 132 (청암센트럴빌) 102~105호 최성식재활의학과의원,2025-08-04 00:00:00,최성식재활의학과의원,0,12,386,전남,곡성군,061-362-0887,의원
무주읍 향학로 33-1 무주신경외과,2025-08-04 00:00:00,무주신경외과의원,0,1,387,전북,무주군,063-324-8275,의원
이서면 기지로 54 비씨엠타워 2층,2025-08-04 00:00:00,혁신오케이정형외과의원,20,1,388,전북,완주군,063-277-7500,의원
옥곡면 큰골길 8,2025-08-04 00:00:00,현대의원,0,4,389,전남,광양,061-772-7119,의원
"백양대로 893, 궁전빌딩 402호",2025-07-22 00:00:00,참좋은정형외과신경과의원,0,2,390,부산,사상구,051-312-7582,의원
남문로 696 (학동) 1층 연합내과,2025-08-04 00:00:00,연합내과의원,0,1,391,광주,동구,062-222-5651,의원
천호대로 1099 (천호동) 5층 502호,2025-09-02 00:00:00,류마내과의원,0,1,392,서울,강동구,02-474-5450,의원
아차산로 450-2 (구의동),2025-09-02 00:00:00,더바름정형외과의원,29,7,393,서울,광진구,02-455-2018,의원
세검정로1길 5 (홍은동) 남기헌정형외과의원,2025-09-02 00:00:00,남기헌정형외과의원,0,1,394,서울,서대문구,02-396-5595,의원
중앙로 372번길 37-15 1층 안성제일정형외과의원,2025-09-02 00:00:00,안성제일정형외과의원,0,6,395,경기,안성시,031-673-2119,의원
안마산로 107 (퇴계동) 마디온정형외과의원,2025-09-02 00:00:00,마디온정형외과의원,24,5,396,강원,춘천시,033-249-8575,의원
철산로 32 (철산동) 4층 삼성우리내과의원,2025-09-02 00:00:00,삼성우리내과의원,0,3,397,경기,광명시,02-2613-7588,의원
원적로 85 (가좌동) 201호,2025-09-02 00:00:00,한길정형외과의원,10,5,398,인천,서구,032-576-7582,의원
"영흥면 영흥로 176번길 8, 203호(영흥늘푸른센터 2층)",2025-09-02 00:00:00,하나의료조합영흥우리의원,26,5,399,인천,옹진군,032-886-9411,의원
 태안읍 동백로 301 3층,2025-06-24 00:00:00,강비뇨기과의원(태안),0,3,400,충남,태안군,041-673-8008,의원
번영로 475 홈플러스울산점 5층 태강내과,2025-07-22 00:00:00,태강내과의원,0,1,401,울산,중구,052-292-2975,의원
관저중로 72 (관저동) 4층 신선정형외과,2025-07-24 00:00:00,신선정형외과의원,0,2,402,대전,서구,042-636-3003,의원
계룡로 945 (대사동),2025-07-24 00:00:00,김학영정형외과의원,0,2,403,대전,중구,042-254-7966,의원
동춘당로 179 (법동) 201,2025-07-24 00:00:00,청담내과의원,0,1,404,대전,대덕구,042-635-7576,의원
분당구 황새울로335번길 5 (서현동) 앤타운빌딩 803호,2025-09-02 00:00:00,분당연세비뇨의학과의원,0,1,405,경기,성남시,031-2706-8292,의원
옥정로 196 (옥정동) 파스텔시티 6층,2025-09-02 00:00:00,두리이비인후과의원(양주),0,5,406,경기,양주시,031-868-8766,의원
"도봉로 242, 2층 1호",2025-09-02 00:00:00,강북보아스이비인후과의원,0,1,407,서울,강북구,02-980-1530,의원
"월계로 370 (월계동) 201~202호 서울의원(월계동, 희성프라자)",2025-09-02 00:00:00,서울의원(서울),0,5,408,서울,노원구,02-993-2161,의원
용마산로 503,2025-09-02 00:00:00,맑은성심피부과의원,0,1,409,서울,중랑구,02-437-6152,의원
중앙로 122,2025-09-16 00:00:00,김제욱피부비뇨기과의원,0,2,410,경북,영주시,054-635-8290,의원
주공로 5 (동대동) 서광정형외과,2025-08-28 00:00:00,서광정형외과의원,17,1,411,충남,보령시,041-931-7279,의원
성산구 가음로 88 (가음동),2025-09-30 00:00:00,가온내과의원,0,11,412,경남,창원시,055-282-8511,의원
보성읍 중알로 61-15,2025-09-30 00:00:00,서병기내과의원,0,1,413,전남,보성군,061-852-9878,의원
구례읍 봉성로 110,2025-09-30 00:00:00,한양마취통증의학과의원,0,7,414,전남,구례군,061-782-7582,의원
중앙대로 808 (전포동) 4층,2025-09-30 00:00:00,이신내과의원,0,1,415,부산,부산진구,051-715-5501,의원
광도면 남해안대로 857,2025-09-30 00:00:00,통영서울병원,165,6,416,경남,통영시,055-640-1112,병원
좌동순환로505 3층 부강비뇨의학과,2025-09-30 00:00:00,부강비뇨의학과의원,0,3,417,부산,해운대구,051-747-7200,의원
정관읍 정관로 495 2층 수이비인후과,2025-09-30 00:00:00,수이비인후과의원,0,4,418,부산,기장군,051-727-0575,의원
도봉로 551 (쌍문동) 4층 삼성나비뇨의학과의원,2025-11-19 00:00:00,삼성나비뇨의학과의원,0,2,419,서울,도봉구,02-955-3077,의원
원골로 59 (오전동),2025-11-19 00:00:00,한국한센복지협회부설의원,29,3,420,경기,의왕시,031-452-7093,의원
달구벌대로 1993 (대신동) 2층,2025-09-16 00:00:00,건강제일내과의원,0,1,421,대구,중구,053-255-8333,의원
상산로 255 (남성동) 강남빌딩5층 강남비뇨기과,2025-09-16 00:00:00,강남비뇨기과의원,0,2,422,경북,상주시,054-534-7575,의원
시청로 3 (죽항동) 미래연합의원,2025-11-19 00:00:00,미래연합의원,29,6,423,전북,남원시,063-636-7500,의원
영덕읍 중앙길 90 영덕경대안과,2025-09-16 00:00:00,영덕경대안과의원,0,1,424,경북,영덕군,054-734-5817,의원
새창로 217 (한강로2가) 5층 용산성모내과,2025-12-03 00:00:00,용산성모내과의원,0,8,425,서울,용산구,02-794-9992,의원
퇴계로 395 (흥인동) 일신빌딩302호,2025-12-03 00:00:00,라임비뇨기과의원,2,2,426,서울,중구,02-2237-5200,의원
진관2로 15-46 9층,2025-12-03 00:00:00,구파발정형외과의원,25,8,427,서울,은평구,02-334-8275,의원
명지국제11로 25 (명지동) 동명빌딩 3층 다사랑내과의원,2025-11-19 00:00:00,다사랑내과의원,0,4,428,부산,강서구,051-201-2115,의원
서원구 궁뜰로 16 (미평동) 청주탑요양병원,2025-11-21 00:00:00,의료법인 하람의료재단 청주탑요양병원,293,7,429,충북,청주시,043-296-5000,요양병원
순창읍 순창로 105,2025-12-04 00:00:00,의료법인태종의료재단 순창요양병원,440,3,430,전북,순창군,063-650-8005,요양병원
대교로 1 (봉래동3가) 2층 참좋은 정형외과 의원,2025-12-12 00:00:00,참좋은정형외과의원(영도),0,4,431,부산,영도구,051-714-1742,의원
방어진순환도로 799,2025-12-15 00:00:00,안신경외과의원,15,1,432,울산,동구,052-235-4900,의원
"번영로 223 (모종동) 4층,5층 장사랑연합내과의원",2025-11-21 00:00:00,장사랑연합내과의원,0,22,433,충남,아산시,041-542-7582,의원
한누리대로 2281 (대평동) SM메디컬센터 3층서문365정형외과,2025-11-21 00:00:00,서문365정형외과의원,0,4,434,세종,세종시,044-868-1039,의원
마산회원구 내서읍 죽암로 89,2025-12-15 00:00:00,청록의료재단신세계요양병원,570,6,435,경남,창원시,055-232-5600,요양병원
비류대로 194 (옥련동) 3층 연세정형외과의원,2026-01-15 00:00:00,연세정형외과의원,0,1,436,인천,연수구,032-834-7000,의원
달구벌대로 3188 (신매동) 3층 시지율정신건강의학과의원,2025-11-21 00:00:00,시지율정신건강의학과의원,0,1,437,대구,수성구,053-792-7570,의원
의성읍 안평의성로 1122-30,2025-11-21 00:00:00,의성군공립요양병원,196,4,438,경북,의성군,054-834-7400,요양병원
상도로 174 (상도동) 4층,2026-01-15 00:00:00,삼성유신경외과의원,0,7,439,서울,동작구,02-2135-2058,의원
"금하로 651, 2,3층",2026-01-15 00:00:00,김홍열내과의원,0,1,440,서울,금천구,02-805-6124,의원
기흥구 용구대로 2252 더원요양병원,2026-01-15 00:00:00,더원요양병원,295,5,441,경기,용인시,031-282-8123,요양병원
 금오산로 58,2026-01-06 00:00:00,(구미)고려마취통증의학과의원,29,7,442,경북,김천시,054-453-9797,의원
이수로 317,2026-01-15 00:00:00,성모안과의원,0,1,443,전남,순천시,061-721-0062,의원
신월큰길 13,2026-01-15 00:00:00,플러스내과의원,25,3,444,전남,순천시,061-804-5121,의원
 번영로107번길1,2024-01-17 00:00:00,전내과의원,0,4,445,울산,남구,052-267-7272,의원
"중앙로 10(문화동, 태양빌딩 2층)",2025-12-12 00:00:00,지정신건강의학과의원,0,1,446,대전,중구,042-256-5551,의원
서북구 다가말3길 8,2026-02-06 00:00:00,천안충무병원,363,30,447,충남,천안시,041-570-7644,종합병원
"중앙로 337,3층 301,302호",2024-02-01 00:00:00,동산내과의원,0,1,448,제주,제주시,064-723-0808,의원
"우평로 338, 4,5층",2024-02-01 00:00:00,연세차내과의원,0,2,449,제주,제주시,064-747-2375,의원
가평읍 가화로 113,2024-01-11 00:00:00,새희망마취통증의학과의원,0,8,450,경기,가평군,031-581-7200,의원
중앙로 101,2024-01-10 00:00:00,광주제일내과의원,0,1,451,경기,광주시,031-763-2601,의원
사천읍 옥산로 127,2024-02-01 00:00:00,사천중앙요양병원,261,5,452,경남,사천읍,055-851-5400,요양병원
