addr1,addr2,date_time,fax,latitude,longitude,name,pid,region_big,region_small,tel,type,use_yn,zipcd
강원도 삼척시,오십천로 418 (남양동),2001-03-01 00:00:00,033-573-8425,37.4377597,129.1614146,삼척의료원,167,시,강원,033-572-1141,종합병원,Y,25920
경기도 안양시,만안구 삼덕로 9,2006-10-01 00:00:00,031-467-9198,37.3934995,126.9245371,안양샘병원,168,시,경기,031-467-9114,종합병원,Y,14030
서울시 종로구,새문안로 9 (평동),2002-10-01 00:00:00,02-2002-8855,37.5671402,126.9670566,서울적십자병원,169,구,서울,02-2002-8000,종합병원,Y,03181
경기도 성남시,중원구 산성대로476번길 12,2003-03-03 00:00:00,031-799-5257,37.4527005,127.1620743,성남중앙병원,170,시,경기,031-743-3000,종합병원,Y,13161
경기도 시흥시,공단1대로 237,2009-01-01 00:00:00,031-8041-3045,37.3367245,126.7281671,센트럴병원,171,시,경기,031-8041-3000,종합병원,Y,15079
강원도 속초시,영랑호반길 3,1991-08-01 00:00:00,033-630-6004,38.2164098,128.5885347,속초의료원,172,시,강원,033-630-6000,종합병원,Y,24821
강원도 영월군,영월읍 중앙1로 59,1987-04-01 00:00:00,033-370-9118,37.1865308,128.4651096,영월의료원,173,군,강원,033-370-9101,종합병원,Y,26234
경기도 용인시,기흥구 중부대로 411 (신갈동),2002-02-01 00:00:00,031-282-2607,37.2824324,127.1097149,용인강남병원,174,시,경기,031-300-0114,종합병원,Y,17064
인천시 계양구,장제로 722 (작전동),2009-07-01 00:00:00,032-556-9114,37.5639623,126.7342231,(의)인성의료재단 한림병원,175,구,인천,032-540-9114,종합병원,Y,21079
인천시 동구,방축로 217,1990-04-01 00:00:00,032-580-6585,37.4845780,126.6547403,인천광역시의료원,176,구,인천,032-580-6000,종합병원,Y,22532
강원도 철원군,갈말읍 명성로 208,1999-12-22 00:00:00,033-452-5014,38.1502529,127.3077345,철원병원,177,군,강원,033-452-5011,병원,Y,24034
경기도 화성시,향남읍 발안로 5,2006-02-20 00:00:00,031-352-7587,37.1313154,126.9107719,화성중앙병원,178,시,경기,031-352-8114,종합병원,Y,18592
충남 금산군,금산읍 후곤천길 56,2012-02-10 00:00:00,041-754-9360,36.1061401,127.4881139,금산365의원,179,군,충남,041-754-9365,의원,Y,32737
충남 태안군,태안읍 동문1길 15,2012-02-01 00:00:00,041-674-3401,36.7497112,126.3019893,이신경외과의원,180,군,충남,041-674-6006,의원,Y,32143
서울시 관악구,관악로 203 2층,2021-08-01 00:00:00,02-887-4771,37.48346328043015,126.95376563725675,손장원정형외과의원,181,구,서울,02-872-3900,의원,Y,08745
전남 순천시,순광로 221,2013-01-01 00:00:00,061-720-2104,34.9642662,127.5428763,순천성가롤로병원,182,시,전남,061-720-2000,종합병원,Y,57931
경기도 부천시,소사구 경인로 110번길 14,2013-01-08 00:00:00,032-656-0453,37.4831860,126.7674836,메디홀스요양병원,183,시,경기,032-667-0100,요양병원,Y,14727
충북 제천시,내토로 991,2013-01-01 00:00:00,043-640-8384,37.1392727,128.2071427,명지의료재단 명지병원,184,시,충북,043-640-8114,종합병원,Y,27170
강원도 홍천군,홍천읍 산림공원1길 17,2013-01-15 00:00:00,033-430-5616,37.6906658,127.8946511,홍천아산병원,185,군,강원,033-430-5151,종합병원,Y,25131
서울시 강서구,강서로56길 38 (등촌동),2013-02-12 00:00:00,02-3660-1128,37.5591521,126.8406563,강서힘찬병원,186,구,서울,1899-2228,병원,Y,07591
충남 당진시,계성3길 31-4 (읍내동),2013-03-11 00:00:00,041-352-2168,36.8986377,126.6329937,서울신경외과의원,187,시,충남,041-352-2166,의원,Y,31770
부산시 남구,수영로 175 (대연동),2013-12-01 00:00:00,051-634-0101,35.1360604,129.0864465,부산성소병원,188,구,부산,051-633-1123,병원,Y,48453
충남 서천군,서천읍 충절로59번길 31-7,2014-04-01 00:00:00,041-952-0784,36.0763135,126.6894488,공정형외과의원,189,군,충남,041-952-0788,의원,Y,33642
부산시 금정구,서동로 162,2014-05-01 00:00:00,051-500-9393,35.2143990,129.1040842,(의)라움의료재단 세웅병원,190,구,부산,051-500-9700,병원,Y,46327
경남 양산시,월라2길 45,2014-07-15 00:00:00,055-365-6630,35.3648266,129.1505559,신세계요양병원,191,시,경남,055-365-6666,요양병원,Y,50540
서울시 마포구,독막로 22 (합정동),2014-11-17 00:00:00,02-335-2520,37.5467114,126.9328565,예담정형외과의원,192,구,서울,02-335-2500,의원,Y,04072
충남 계룡시,엄사면 번영로 14,2014-11-24 00:00:00,042-841-4418,36.2882500,127.2435529,김광석외과의원,193,시,충남,042-841-4411,의원,Y,32804
경남 진주시,진주대로 885,2015-01-01 00:00:00,055-750-7128,35.1793942,128.0899721,진주제일병원,194,시,경남,055-750-7123,종합병원,Y,52709
경기도 동두천시,동광로 53,2015-01-01 00:00:00,031-861-6878,37.9088551,127.0539440,동두천중앙성모병원,195,시,경기,031-863-0550,병원,Y,11326
전북 군산시,백릉로 70,2015-04-01 00:00:00,063-450-0903,35.9750726,126.7335300,(의)성하의료재단 누가병원,196,시,전북,063-450-0904,병원,Y,54076
전남 완도군,소안면 소안로 213-1 소안면보건지소,2015-04-01 00:00:00,061-550-6869,34.1719923,126.6527272,소안면 보건지소,197,군,전남,061-550-6861,의원,Y,59140
경남 거제시,연초면 거제대로 4477,2015-04-01 00:00:00,055-731-1222,34.9096602,128.6555797,맑은샘병원,198,시,경남,055-736-1004,종합병원,Y,53209
충북 청주시,상당구 쇠내로 16,2015-04-08 00:00:00,043-221-5010,36.6244467,127.4955285,효성병원,199,시,충북,043-221-5000,종합병원,Y,28736
경기도 광주시,경안로 40,2015-05-01 00:00:00,031-761-0741,37.4095535,127.2561902,더플러스병원,200,시,경기,031-763-7582,병원,Y,12758
경북 경산시,경안로 23-10,2015-05-18 00:00:00,053-816-3305,35.8291168,128.7348370,경북도립경산노인전문요양병원,201,시,경북,053-819-0700,요양병원,Y,38646
강원도 양구군,양구읍 중심로 160,2015-10-14 00:00:00,033-480-8808,38.1045016,127.9911494,양구성심병원,202,군,강원,033-480-8800,병원,Y,24545
강원도 고성군,거진읍 거진시장길 11,2015-12-01 00:00:00,033-682-7722,38.4475128,128.4547501,세브란의원,203,군,강원,033-682-7755,의원,Y,24715
경기도 양주시,고읍남로 6,2016-01-01 00:00:00,031-847-8275,37.7956094,127.0801064,21세기내과의원,204,시,경기,031-847-8600,의원,Y,11492
울산시 동구,방어진순환도로 577,2016-01-01 00:00:00,052-235-8400,35.4934985,129.4264937,마디정형외과의원,205,구,울산,052-235-5858,의원,Y,44077
경기도 안양시,"동안구 관악대로 458 (관양동, 서진빌딩)",2016-02-01 00:00:00,031-423-9405,37.4018045,126.9554341,김형근예병원,206,시,경기,031-421-7575,병원,Y,431-810
충북 충주시,주덕읍 신양로 62,2016-06-15 00:00:00,043-843-3504,36.9717142,127.7941216,송원요양병원,207,시,충북,043-856-3501,요양병원,Y,27462
서울시 구로구,경인로 40길 11,2016-07-01 00:00:00,02-2685-6613,37.4953627,126.8587916,권경수내과의원,208,구,서울,02-2685-6612,의원,Y,08276
충남 아산시,문화로 381 (모종동),2016-07-13 00:00:00,,36.7827986,127.0197926,아산충무병원,209,시,충남,041-536-6666,종합병원,Y,336-801
강원도 원주시,원문로 1419 (연세메디하임),2016-08-01 00:00:00,033-746-0078,37.3025455,127.8089145,연세메디하임병원,210,시,강원,033-740-8800,병원,Y,220-801
경기도 평택시,안현로서6길 16 (성심중앙병원),2016-09-01 00:00:00,031-681-0271,36.9839206786025,126.928402880654,성심중앙병원,211,시,경기,031-681-1118,병원,Y,17936
전북 김제시,서암4길 45 (서암동),2016-11-01 00:00:00,063-540-5244,35.8073551,126.8802411,김제우석병원,212,시,전북,063-540-5159,병원,Y,54372
전남 영암군,중앙로 34 영암내과,2016-12-01 00:00:00,061-472-9500,34.7991107,126.6976378,영암내과의원,213,군,전남,061-472-0055,의원,Y,58416
경북 경주시,금성로 281 (성건동),2016-12-12 00:00:00,054-773-3383,35.8440616,129.2063607,중앙요양병원,214,시,경북,054-773-8500,요양병원,Y,38156
경기도 여주시,"청심로 47 (하동, 여주고려병원)",2017-01-01 00:00:00,031-885-6677,37.3015262,127.6260876,세종여주병원,215,시,경기,031-880-7700,종합병원,Y,12618
경남 하동군,하동읍 중앙로 15 2층(경남은행),2017-01-01 00:00:00,055-882-3075,35.0704880,127.7506019,서울안과,216,군,경남,055-882-2075,의원,Y,52325
경남 하동군,연화길 6 하동중앙내과정형외과의원,2017-01-01 00:00:00,055-884-0021,35.0713769,127.7532405,하동중앙의원,217,군,경남,055-883-0222,의원,Y,52324
경남 창원시,"의창구 창이대로 45 (명서동, 창원파티마병원)",2017-01-01 00:00:00,055-265-2924,35.2373176,128.6459024,창원파티마병원,218,시,경남,055-270-1109,종합병원,Y,51394
서울시 광진구,"용마산로 44 (중곡동, 삼경빌딩)",2017-01-16 00:00:00,02-3437-1437,37.5575847,127.0881598,김종웅내과의원,219,구,서울,02-455-4038,의원,Y,04949
충북 청주시,"흥덕구 비하로 65 (비하동, 현대병원)",2017-03-01 00:00:00,043-234-2681,36.6328867,127.4245810,청주현대병원,220,시,충북,043-237-2114,병원,Y,28363
울산시 북구,산업로 1007,2016-06-01 00:00:00,052-280-9111,35.582894,129.3588552,울산시티병원,221,구,울산,052-280-9101,종합병원,Y,683-804
전북 진안군,진안읍 진무로 1145,2017-04-01 00:00:00,063-430-7002,35.7952051289983,127.435602049331,진안군의료원,222,군,전북,063-430-7000,병원,Y,55422
강원도 홍천군,홍천읍 신장대로 47-1,2017-03-29 00:00:00,033-340-4841,37.6903254,127.881519,서울드림의원,223,군,강원,033-433-3354,의원,Y,25136
전북 전주시,덕진구 동부대로 895 (호성동1가) 호성전주병원,2017-05-22 00:00:00,063-244-8500,35.8654304,127.1479175,호성전주병원,224,시,전북,063-240-8800,병원,Y,54902
경북 경주시,원화로 312(성동동) 큰마디병원,2017-06-01 00:00:00,054-700-0100,35.8441723,129.2150584,큰마디큰병원,225,시,경북,054-700-0119,병원,Y,38153
서울시 금천구,독산로 210 (독산동) K빌딩 2층 (독산동1038-28),2017-05-15 00:00:00,02-896-0111,37.4657313,126.9023778,서울으뜸정형외과의원,226,구,서울,02-807-0111,의원,Y,08559
부산시 동래구,충렬대로 255 (수안동),2017-06-01 00:00:00,051-559-0128,35.2013098,129.0871909,(의)상원의료재단 부산힘찬병원,227,구,부산,051-559-0120,병원,Y,47813
서울시 영등포구,신길로 28 (신길동) 4층 김종률내과의원,2017-09-25 00:00:00,02-831-1586,37.4951557,126.9090763,신풍내과의원,228,구,서울,02-831-1585,의원,Y,07437
전남 해남군,해남읍 중앙2로 123 해남한국병원,2018-01-01 00:00:00,061-530-3054,34.5668629945197,126.59712300099,해남한국병원,229,군,전남,061-530-3000,병원,Y,59040
경기도 광명시,오리로 518 (소하동) 대교빌딩 4층 광명새움병원,2018-01-08 00:00:00,02-6924-8318,37.446937,126.8812344,광명새움병원,230,시,경기,1661-6888,병원,Y,14316
서울시 은평구,은평로 133 (응암동) 본서부병원,2018-02-01 00:00:00,02-3156-5021,37.6006960,126.9225682,본서부병원,231,구,서울,02-3156-5000,병원,Y,03460
서울시 영등포구,"국제금융로 86 (여의도동, 롯데캐슬 아이비) 216호 아이비이비인후과",2018-01-29 00:00:00,02-784-7533,37.5199093,126.9317832,아이비이비인후과의원,232,구,서울,02-784-7533,의원,Y,07333
경기도 김포시,통진읍 김포대로2230번길 21-3 박원종내과의원,2018-02-07 00:00:00,031-996-3723,37.6906411,126.5986924,박원종내과의원,233,시,경기,031-996-3722,의원,Y,10018
경남 함안군,가야읍 중앙남1길 34,2018-03-19 00:00:00,055-583-1928,35.2761445,128.4072079,참사랑의원,234,군,경남,055-583-1929,의원,Y,50246
경기도 파주시,문산읍 방촌로 1675-20,2018-03-05 00:00:00,031-954-1331,37.8639482,126.7809311,무척조은병원,235,시,경기,031-954-1400,병원,Y,10816
경남 함안군,칠원읍 예곡1길 13 새롬재활요양병원,2018-03-19 00:00:00,055-587-5850,35.2757588834831,128.533318338455,새롬재활요양병원(의료법인유천의료재단),236,군,경남,055-580-5800,요양병원,Y,52027
강원도 강릉시,경강로 2109 (임당동) 문선빌딩 3층,2018-06-01 00:00:00,033-648-2900,37.7556751,128.8971823,박정빈외과의원,237,시,강원,033-648-0080,의원,Y,25532
강원도 강릉시,솔올로5번길 40 (교동) 엘림빌딩2층,2018-06-01 00:00:00,033-645-7748,37.7638435,128.8755235,이명호내과의원,238,시,강원,033-645-7747,의원,Y,25515
전남 여수시,좌수영로 49 (광무동) (광무동120-1) 원무부,2018-10-22 00:00:00,061-640-7260,34.7451209,127.7281943,여수전남병원,239,시,전남,061-640-7575,종합병원,Y,59718
경기도 수원시,장안구 창룡대로 159 (연무동) 다인병원,2018-10-29 00:00:00,031-273-9635,37.2919224,127.0275236,다인병원,240,시,경기,031-8014-1300,병원,Y,16221
전남 영암군,영암읍 동문로 5 하나안과의원,2018-11-01 00:00:00,061-471-2006,34.7961573,126.7023854,하나안과의원,241,군,전남,061-471-2007,의원,Y,58418
대구시 동구,국채보상로 769,2018-11-15 00:00:00,053-721-8571,35.8684223,128.6151820,바로본병원,242,구,대구,1644-8575,병원,Y,41267
경기도 시흥시,"수인로3325번길 10 (신천동, 우명프라자) 우명프라자3층",2018-11-12 00:00:00,031-696-5447,37.4381992,126.7882135,(의)자운의료재단강남요양병원,243,시,경기,031-311-0700,요양병원,Y,14950
부산시 해운대구,해운대로 135(재송동),2018-12-01 00:00:00,051-783-2929,35.1851923,129.1214655,효성시티병원,244,구,부산,051-709-3000,병원,Y,48055
서울시 마포구,양화로 133 (서교동) 서교타워빌딩 5층,2019-02-01 00:00:00,02-3143-0078,37.5552310,126.9209827,서울본내과의원,245,구,서울,02-3143-2220,의원,Y,04032
경기도 이천시,"경충대로 2742 (관고동, 경기도립의료원이천병원)",2019-02-01 00:00:00,031-639-4955,37.2828228,127.4332382,경기도의료원 이천병원,246,시,경기,031-639-4800,종합병원,Y,467-020
경기도 성남시,수정구 성남대로 1171 (수진동) 성모윌병원,2019-02-01 00:00:00,031-751-2076,37.4344481,127.1282865,성모윌병원,247,시,경기,1833-7512,병원,Y,13313
경기도 군포시,산본로 321,2019-03-01 00:00:00,031-390-2244,37.3594127,126.9336032,원광대학교 산본병원,248,시,경기,031-390-2300,종합병원,Y,15865
전남 완도군,소안면 비자리 소안비자1186-47,2019-03-01 00:00:00,061-553-4336,34.1733124,126.6496870,완도소안의원,249,군,전남,061-554-8119,의원,Y,537-831
전북 완주군,고산면 고산로 81 2층,2019-04-01 00:00:00,063-262-0035,35.9752513,127.2059405,한솔의원,250,군,전북,063-262-0034,의원,Y,55311
충북 제천시,의림대로 153 (의림동) 3층,2019-05-13 00:00:00,043-644-6671,37.1414060,128.2120266,노병연내과의원,251,시,충북,043-644-6670,의원,Y,27165
서울시 동대문구,왕산로 137 (제기동) 서울나은병원,2019-06-15 00:00:00,02-6714-9600,37.5785692,127.0387314,서울나은병원,252,구,서울,1544-6003,병원,Y,02571
경북 영덕군,영해면 영덕로 1621,2019-06-10 00:00:00,054-730-0170,36.5236797,129.4023434,영덕아산병원,253,군,경북,054-730-0114,병원,Y,36408
서울시 중랑구,용마산로 503 (망우동) 성심빌딩 2.3.4.5층,2019-07-01 00:00:00,02-437-6153,37.5961113,127.0999204,건강한성심의원,254,구,서울,02-437-6152,의원,Y,02165
경기도 오산시,오산로 307 조은오산병원,2019-08-01 00:00:00,031-373-1375,37.1542020,127.0682016,조은오산병원,255,시,경기,1544-5355,병원,Y,18136
경북 포항시,북구 대신로 27 (대신동) 좋은선린요양병원,2019-11-01 00:00:00,054-245-6110,36.0465070,129.3666959,좋은선린요양병원,256,시,경북,054-245-6000,요양병원,Y,37726
울산시 동구,방어진순환도로 651 (일산동) 3층,2020-01-01 00:00:00,052-252-9478,35.4999961,129.4282505,신내과의원,257,구,울산,052-252-9477,의원,Y,44067
경남 김해시,계동로 237 (대청동) 메가병원,2020-01-01 00:00:00,055-903-9353,35.1913311,128.8038856,의료법인지평의료재단 메가병원,258,시,경남,055-903-9000,병원,Y,51004
경기도 의정부시,평화로 622 (의정부동) 성베드로병원,2020-03-01 00:00:00,031-843-8490,37.74751557,127.0458566,(의)희경의료재단 성베드로병원,259,시,경기,1544-1131,병원,Y,11686
전남 나주시,영산로 5419 (성북동) 신관3층 나주비뇨기과의원,2020-03-09 00:00:00,061-334-8823,35.0367447,126.7215616,나주비뇨기과의원,260,시,전남,061-334-8822,의원,Y,58251
경남 사천시,남일로 33,2020-04-06 00:00:00,055-833-1568,34.9331090,128.0801401,(의)승연의료재단 삼천포서울병원,261,시,경남,055-835-9900,병원,Y,664-831
인천시 강화군,강화읍 충렬사로 31 비에스종합병원,2020-04-16 00:00:00,032-290-0309,37.7360645,126.4857296,비에스종합병원,262,군,인천,032-290-0001,종합병원,Y,23037
경남 양산시,물금읍 증산역로 152,2020-05-11 00:00:00,055-382-7118,35.3093,129.0063,연세빛가정의학과의원,263,시,경남,055-382-7119,의원,Y,50614
경남 합천군,합천읍 대야로 876 삼성합천병원,2020-05-11 00:00:00,055-933-3322,35.5664697,128.1633342,(의)용성의료재단 삼성합천병원,264,군,경남,055-933-2200,병원,Y,50231
강원도 양양군,양양읍 양양로 62-1 2층 상명내과의원,2020-06-01 00:00:00,033-671-8711,38.0755132,128.6222144,상명내과의원,265,군,강원,033-672-8712,의원,Y,25022
경기도 과천시,"별양로 12 (원문동, 래미안 슈르) 래미안슈르상가 B동 3층",2020-06-01 00:00:00,031-502-9779,37.4230461,126.9935217,탑내과의원,266,시,경기,031-502-8833,의원,Y,13835
경기도 의정부시,"호국로 1336 (의정부동) 5,6,7 층 윤석주내과",2020-06-01 00:00:00,031-843-3011,37.7440644,127.0523609,윤석주내과의원,267,시,경기,031-843-3000,의원,Y,11693
부산시 연제구,월드컵대로 3 (연산동) 신리메디컬 4층,2020-06-01 00:00:00,051-851-8274,35.1751162,129.0860896,보강재활의학과의원,268,구,부산,051-851-8275,의원,Y,47603
전남 무안군,삼향읍 남악4로 86,2020-06-01 00:00:00,061-287-7557,34.8131522,126.4663924,남악하나내과의원,269,군,전남,061-280-4800,의원,Y,58567
전남 영광군,염산면 천년로 20-1,2020-07-01 00:00:00,061-351-9531,35.2171474,126.3741659,서울연합의원,270,군,전남,061-351-9530,의원,Y,57066
전북 순창군,순창읍 순창5길15,2020-07-01 00:00:00,063-653-2828,35.3732061,127.1407066,대동의원,271,군,전북,063-653-2828,의원,Y,56046
경북 안동시,경동로 847 (용상동) 용상황금연합의원 1층,2020-07-01 00:00:00,054-822-7501,36.5610309,128.749938,용상황금연합의원,272,시,경북,054-822-7500,의원,Y,36711
경기도 화성시,동탄지성로 113 (반송동) 동탄시티병원,2020-08-01 00:00:00,031-8015-1683,37.2084803,127.0626221,동탄시티병원,273,시,경기,031-8015-3333,병원,Y,18435
경북 김천시,신음1길 12 (신음동) 김천제일병원,2020-10-26 00:00:00,054-420-9414,36.13551859455809,128.11871069376681,덕산의료재단 김천제일병원,274,시,경북,054-420-3438,종합병원,Y,39544
경기도 군포시,고산로 693 (산본동) 하나로빌딩 3층 김성진내과,2020-12-01 00:00:00,031-347-4802,37.37209160199396,126.93502173725353,김성진내과의원,275,시,경기,031-347-4800,의원,Y,15802
경기도 안산시,단원구 광덕대로 154 (고잔동) 로데오타운 A동 2층 더베스트내과,2020-12-01 00:00:00,031-402-1105,37.31027116798868,126.83073584610297,더베스트내과의원,276,시,경기,031-487-1119,의원,Y,15470
경기도 수원시,"영통구 매영로 84 (매탄동, 한국아파트) 한국2차아파트 상가동 207호 코코이비인후과",2020-12-01 00:00:00,031-212-7576,37.26767778768752,127.0510779372508,코코이비인후과의원,277,시,경기,031-212-7572,의원,Y,16542
경기도 용인시,기흥구 보정로 115 (보정동) 우영프라자 4층,2020-11-02 00:00:00,031-896-5020,37.319958576933494,127.11515932840088,비젼내과의원,278,시,경기,031-896-3000,의원,Y,16898
충남 서산시,안견로 190 (동문동) 2층 수내과의원,2020-12-01 00:00:00,041-667-3407,36.78221667147706,126.4581622460882,수내과의원,279,시,충남,041-667-8600,의원,Y,31981
경남 의령군,의령읍 의병로 217 덕영내과,2020-12-01 00:00:00,055-574-0073,35.319900352672555,128.2603623760426,덕영내과의원,280,군,경남,055-574-0071,의원,Y,52140
광주시 남구,서문대로 725 (진월동) 2층,2020-12-01 00:00:00,062-651-8603,35.12428961532875,126.8977508937395,힐링연합의원,281,구,광주,062-651-8600,의원,Y,61725
전남 담양군,수북면 추성1로 736 나눔내과의원,2020-12-01 00:00:00,061-381-8273,35.30173913598945,126.93208365555365,나눔내과의원,282,군,전남,070-5176-1046,의원,Y,57318
전남 화순군,화순읍 자치샘로 36 옥천빌딩 2층,2020-12-01 00:00:00,061-374-1985,35.06179525905135,126.98486245554746,한양내과의원,283,군,전남,061-374-0333,의원,Y,58119
전남 강진군,강진읍 평동2길 30 지스퀘어1층,2020-12-01 00:00:00,061-434-3909,34.6381168003295,126.76801894603024,오케이내과의원,284,군,전남,061-434-3900,의원,Y,59234
전남 해남군,"해남읍 중앙1로 2-14 2층, 해남복음내과의원",2020-12-01 00:00:00,061-534-7505,34.57145804810098,126.60697802832617,해남복음내과의원,285,군,전남,061-534-7504,의원,Y,59027
전북 익산시,무왕로 1073 (영등동) (영등동) 하나은행 2층,2020-12-01 00:00:00,063-834-7792,35.95882537145737,126.9760110372144,김종성비뇨기과의원,286,시,전북,063-834-7722,의원,Y,54545
전북 임실군,임실읍봉황로 159 임실내과,2020-12-01 00:00:00,063-644-7577,35.6148098016453,127.28009798490164,임실내과의원,287,군,전북,063-644-7575,의원,Y,55926
전북 장수군,장계면 한들로 93 참가정의학과의원,2020-12-01 00:00:00,063-351-7278,35.73137018265825,127.58224002835715,참가정의학과의원,288,군,전북,063-351-7277,의원,Y,55612
전남 영암군,영암읍 중앙로 66,2020-12-01 00:00:00,061-473-2006,34.80182687471571,126.69956156439157,서울정형외과의원(영암),289,군,전남,061-473-2000,의원,Y,58416
전북 부안군,부안읍 부풍로 48-1,2020-12-01 00:00:00,063-584-6393,35.72713939469269,126.7321990732675,현대가정의학과의원,290,군,전북,063-584-6393,의원,Y,56309
경기도 안양시,동안구 시민대로 187,2020-12-01 00:00:00,031-388-2199,37.3919477562324,126.95159757609954,권태우정형외과의원,291,시,경기,031-388-2198,의원,Y,14047
경기도 하남시,아리수로 570,2020-12-01 00:00:00,031-794-1475,37.56760583502886,127.19070137930174,박지영내과의원,292,시,경기,031-793-1475,의원,Y,12913
강원도 원주시,"남원로 665 선일빌딩 1층일부,2,3,4층",2020-12-01 00:00:00,033-763-9740,37.342368661302906,127.95412070330624,손경수내과의원,293,시,강원,033-763-8252,의원,Y,26441
강원도 인제군,북면 원통로 218 한림의원,2020-12-01 00:00:00,033-462-9340,38.1242,128.2076,한림의원,294,군,강원,033-462-4261,의원,Y,24616
강원도 화천군,화천읍 중앙로 19-1 화천내과의원,2020-12-01 00:00:00,033-442-8002,38.10437107267168,127.7063684284233,화천내과의원,295,군,강원,033-442-8001,의원,Y,24124
강원도 횡성군,횡성읍 태기로19번길 14 태기로19번길14,2020-12-01 00:00:00,033-343-5339,37.49184186085388,127.98647430331043,횡성정형외과의원,296,군,강원,033-343-5337,의원,Y,25220
경북 예천군,예천읍 효자로 125 영남의원,2020-12-01 00:00:00,054-653-7581,36.65861526815359,128.45712392838257,영남의원,297,군,경북,054-653-7583,의원,Y,36821
경남 고성군,고성읍 송학로 122번길 19-2 1층 정일성의원,2020-12-01 00:00:00,055-674-3434,34.97692626692288,128.32598215554498,정일성의원,298,군,경남,055-673-8866,의원,Y,52942
경남 거창군,거창읍 강남로 194 고려정형외과의원,2020-12-01 00:00:00,055-943-6151,35.685457543331935,127.91835667326629,고려정형외과의원(거창),299,군,경남,055-943-9811,의원,Y,50145
경남 진주시,서장대로213번길 5 (이현동) 성심메디컬의원,2020-12-01 00:00:00,055-746-5538,35.19095662611172,128.05607204604485,성심메디컬의원,300,시,경남,055-746-5538,의원,Y,52653
경남 함양군,함양읍 용평길 44 한마음연합의원,2020-12-01 00:00:00,055-964-2305,35.51992924723195,127.73191102835149,한마음연합의원,301,군,경남,055-964-2301,의원,Y,50039
경기도 구리시,건원대로3 흥화브라운오피스텔 4층,2020-12-01 00:00:00,031-523-9033,37.601512342854356,127.14062502840879,서울비뇨기과의원(구리점),302,시,경기,031-523-9000,의원,Y,11926
경기도 남양주시,늘을2로 20 (호평동) 4층 청담비뇨기과,2020-12-01 00:00:00,070-8270-3113,37.65465850700283,127.2441074556186,청담비뇨기과의원,303,시,경기,031-592-3698,의원,Y,12150
경기도 양평군,양평읍 시민로 6-1 보원 메디컬 3층 새벽 피부비뇨기과,2020-12-01 00:00:00,031-771-2852,37.48909973358782,127.49282872840578,새벽의원,304,군,경기,031-774-6247,의원,Y,12562
경기도 연천군,전곡읍 전곡로 166 강비뇨기과의원,2020-12-01 00:00:00,031-835-0107,38.0268,127.0680,강비뇨기과의원(연천),305,군,경기,031-835-0108,의원,Y,11033
경기도 포천시,소흘읍 솔모루로 114,2020-12-01 00:00:00,031-531-2375,37.831101480983676,127.14925745562361,한성내과의원,306,시,경기,031-532-2375,의원,Y,11174
경남 김해시,진영읍 진영로454번길 102-10 한서재활요양병원,2021-01-01 00:00:00,055-340-8000,35.292420974152826,128.75299150324992,의)한솔의료재단 한서재활요양병원,307,시,경남,055-346-1222,요양병원,Y,50869
충북 보은군,보은읍 삼산남로 9 민들레안과,2021-01-01 00:00:00,043-542-7587,36.482979734036924,127.72165181952667,민들레안과의원,308,군,충북,043-542-7588,의원,Y,28950
대전시 유성구,노은로 170 (지족동) 스타시티 3층,2021-01-01 00:00:00,042-861-8275,36.374931994699175,127.31837154607687,메디안내과의원,309,구,대전,042-867-8275,의원,Y,34086
충북 옥천군,"옥천읍 삼금로 11 2층, 드림이비인후과의원",2021-01-01 00:00:00,043-733-5801,36.299761236120084,127.56629283722364,드림이비인후과의원,310,군,충북,043-733-5800,의원,Y,29037
충남 천안시,서북구 직산읍 봉주로 51 JS메디칼의원,2021-01-01 00:00:00,041-589-7500,36.877583783482706,127.15223563723971,JS메디칼내과외과정형외과의원,311,시,충남,041-589-7575,의원,Y,31037
강원도 영월군,영월읍 중앙1로 32 성윤업내과의원,2021-01-01 00:00:00,033-372-0871,37.18316610483885,128.46643710330184,성윤업내과의원,312,군,강원,033-374-0871,의원,Y,26233
강원도 속초시,동해대로 4163 (조양동) 닥터음가정의학과의원,2021-01-01 00:00:00,033-633-3773,38.19112740378029,128.57931648001681,닥터음가정의학과의원,313,시,강원,033-633-3773,의원,Y,24874
경기도 안산시,단원구 예술대학로 9,2021-01-01 00:00:00,031-486-3553,37.31795365211713,126.8364879372521,윤이비인후과의원,314,시,경기,031-401-4172,의원,Y,425-020
경남 남해군,남해읍 화전로 85 연세안과 의원,2021-01-01 00:00:00,055-862-0352,34.8389726593609,127.89388744603553,연세안과의원,315,군,경남,055-862-0357,의원,Y,52420
경남 창녕군,창녕읍 창녕대로 122 창녕서울병원,2021-01-01 00:00:00,055-532-0003,35.535036947006944,128.49781838489943,의)창녕서울의료원 창녕서울병원,316,군,경남,055-532-1975,병원,Y,50322
경남 창녕군,"창녕읍 군청길 18,  501,502호(성동빌딩)",2021-01-01 00:00:00,055-533-8275,35.54284751738947,128.49206343720328,창녕원이비인후과의원,317,군,경남,055-533-2224,의원,Y,50323
서울시 강서구,강서로 173 터보빌딩 5층,2021-01-01 00:00:00,02-2065-7722,37.54203926210791,126.83963475561531,강서고려비뇨의학과의원,318,구,서울,02-2065-8822,의원,Y,07714
