code,cost,date_time,etc,gubun,h_code,incl_drugs,incl_goods,kind,kind_big,kind_mid,kind_small,max_cost,min_cost,name,pid
SZ031,,,부가세별도,,2,,,피부 및 연부조직,행위,처치 및 수술료 등,,100000,30000,화학적박피술,969
SZ634,500000,,,,2,N,N,신경,행위,처치 및 수술료 등,,,,경피적 경막외강 신경성형술,970
SZ667,250000,,,,2,N,,감각기-시기(눈),행위,처치 및 수술료 등,,,,안구표면의 양막이식술,971
S5070,84300,,,,2,N,,감각기-시기(눈),행위,처치 및 수술료 등,,,,유리체주입술,972
N1131,10000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,색소 레이저(소),973
,300000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,IPL(얼굴전체),974
,200000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,IPL(이마제외-얼굴전체),975
,100000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,IPL(코주변),976
,150000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,IPL(겨드랑이 양측-제모),977
,300000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,IPL(허벅지 양측-제모),978
,100000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,피부화학박피술 (대),979
,50000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,피부화학박피술 (중),980
,30000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,피부화학박피술 (소),981
,10000,,,,2,,,성형,행위,처치 및 수술료 등,,,,여드름 제거(대),982
,5000,,,,2,,,성형,행위,처치 및 수술료 등,,,,여드름 제거(중),983
,3000,,,,2,,,성형,행위,처치 및 수술료 등,,,,여드름 제거(소),984
,8000,,,,2,,,성형,행위,처치 및 수술료 등,,,,비만치료(주사),985
,300000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,쌍거풀수술(대),986
,250000,,부가세별도,,2,,,성형,행위,처치 및 수술료 등,,,,쌍거풀수술(소),987
,300000,,급여 인정기준 외 실시한 경우 비급여,,2,,,기타,행위,처치 및 수술료 등,,,,난관결찰술(양측),988
,90000,,,,2,N,,기타,행위,처치 및 수술료 등,,,,미레나삽입술,989
,30000,,,,2,,,기타,행위,처치 및 수술료 등,,,,자궁내장치(IUD)삽입술,990
,100000,,,,2,,,기타,행위,처치 및 수술료 등,,,,산부인과 충수절제술,991
HZPS00701,500000,,,,2,,,기타,행위,처치 및 수술료 등,,,,기타보형물제거술(대),992
HZPS00702,300000,,,,2,,,기타,행위,처치 및 수술료 등,,,,기타보형물제거술(중),993
HZPS00703,200000,,,,2,,,기타,행위,처치 및 수술료 등,,,,기타보형물제거술(소1),994
,10000,,,,2,,,기타,행위,처치 및 수술료 등,,,,레이저치료 [Tiny],995
,500000,,,,2,,,기타,행위,처치 및 수술료 등,,,,고환삽입술,996
,100000,,,,2,,,기타,행위,처치 및 수술료 등,,,,약물유도사정술,997
,500000,,,,2,,,기타,행위,처치 및 수술료 등,,,,음경 이물질 제거술 A,998
,700000,,,,2,,,기타,행위,처치 및 수술료 등,,,,음경바셀린종제거술(대),999
,400000,,,,2,,,기타,행위,처치 및 수술료 등,,,,음경바셀린종제거술(소),1000
,1000000,,,인상,2,,,기타,행위,처치 및 수술료 등,,,,음경보형물 삽입술 A [굽은형 보형물],1001
,2000000,,,,2,,,기타,행위,처치 및 수술료 등,,,,음경보형물 삽입술 C[팽창형(3-piece)인 경우에 산정)],1002
,2000000,,,,2,,,기타,행위,처치 및 수술료 등,,,,음경확대술,1003
,1000000,,,,2,,,기타,행위,처치 및 수술료 등,,,,인공 괄약근 설치술,1004
,500000,,급여 인정기준 외 실시한 경우 비급여,,2,,,기타,행위,처치 및 수술료 등,,,,정관복원술 ,1005
,200000,,급여 인정기준 외 실시한 경우 비급여,,2,,,기타,행위,처치 및 수술료 등,,,,정관절제술(결찰술),1006
,150000,,,,2,,,기타,행위,처치 및 수술료 등,,,,포경수술(배면절개),1007
,200000,,,,2,,,기타,행위,처치 및 수술료 등,,,,포경수술(환상절개),1008
,8000,,,,2,,,기타,행위,처치 및 수술료 등,,,,비만치료(주사),1009
UZ001,100000,,,포스트코아 (기성품),2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,보철물 장착을 위한 전단계로 실시하는 Post Core,1010
UZ001,100000,,,주조포스트 (금),2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,보철물 장착을 위한 전단계로 실시하는 Post Core,1011
UZ004,250000,,,"인레이 간접충전 1)금 - 1면, 2면, 3면",2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,인레이(Inlay) 및 온레이(Onlay) 간접충전(금 등을 사용한 충전치료),1012
UZ005,80000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,광중합형 복합레진충전,1013
UZ006,80000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,광중합형 글래스 아이오노머 시멘트충전,1014
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,100000,50000,의치수리,1015
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,200000,100000,포세린관 수리,1016
,70000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,나선형 합정,1017
,150000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,"의치 직접 이장술, 복잡",1018
,50000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,탄성 의치상 이장술,1019
,50000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,"임시 의치, 단순",1020
,30000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,레진 가공 의치 (1치당),1021
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,30000,10000,치태조절 및 예방술식,1022
,30000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,"잇솔질 교습, 회당",1023
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,50000,30000,치아 표백술,1024
,30000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,모형 분석용 인상/1악당,1025
,30000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,"교합안정장치(1악당), 단순",1026
,30000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,교합안정장치 관리,1027
,100000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,불소 도포 (1악당),1028
,50000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,Resin facing 수리 (1치당),1029
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,100000,50000,치아 매식 진단료  Dx of implant ,1030
,100000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,피.알.피,1031
,50000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,치아지지 가철성 의치 클립 교환,1032
,50000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,치아지지 가철성 의치 오-링&이알에이 교환,1033
,200000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,치아지지 가철성 의치 자석체 교환,1034
,300000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,"처치 치아매식, 자석체 교환 ",1035
,300000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,"치아매식, 지대체 교환",1036
,50000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,"치아매식, 코핑 스크류 교환",1037
,100000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,"치아매식, 유씨엘에이 스크류 교환",1038
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,100000,50000,치아매식 수리,1039
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,200000,50000,"치아매식, 임시 레진치",1040
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,1000000,200000,골 이식술,1041
,30000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,치면 열구 전색,1042
,80000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,Scaling 치석제거,1043
,500000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,Cornus Denture(내관 & 외관),1044
,100000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,Milling 비,1045
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,1500000,1000000,"임플란트목적/상악동거상술,측방접근",1046
,60000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,레이져 솔더,1047
,100000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,임플란트 주위염 치료,1048
,100000,,,,2,,,치아질환 처치,행위,치과 처치 및 수술료,,,,"임플란트 2차 수술, 간단",1049
,50000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,치주 테스트(인공치아 개당),1050
,,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,100000,50000,서지컬 스텐트(수술용 스텐트),1051
,300000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,임플란트목적/상악동거상술(편측),1052
,1000000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,임플란트목적/하치조측방전위술(편측),1053
,1500000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,임플란트목적/하치조측방전위술(양측),1054
,500000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,골증대술,1055
,50000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,보격장치(고정식),1056
,100000,,,,2,,,치아질환 처치,행위,치과 처치ㆍ수술료,,,,보격장치(가철식),1057
UX041,100000,,,,2,,,구강외과 수술,행위,치과 처치ㆍ수술료,,,,치관노출술 [1치당],1058
49010,15000,,,,2,Y,,시술료,행위,한방 시술 및 처치료,,,,약침술,1059
59104,30000,,,,2,,,한방 정신요법료,행위,한방 시술 및 처치료,,,,자율훈련법,1060
,420000,,금함량 55%,인상,2,,Y,보철,행위,치과의 보철료,,,,"주조금관, 금합금",1061
,250000,,,,2,,Y,보철,행위,치과의 보철료,,,,가철성 의치용 금속 교합면 인공치 (S-gold),1062
,370000,,,,2,,Y,보철,행위,치과의 보철료,,,,"도재소부전장관, 비귀금속, A",1063
,350000,,,,2,,Y,보철,행위,치과의 보철료,,,,"도재소부전장관, 비귀금속, B",1064
,700000,,,,2,,Y,보철,행위,치과의 보철료,,,,"편측 가철성국소의치, 고주파비귀금속",1065
,230000,,,,2,,Y,보철,행위,치과의 보철료,,,,"포스트관, 귀금속, 단순",1066
,1800000,,,,2,,Y,보철,행위,치과의 보철료,,,,"치아지지가철성의치, 복잡",1067
,1800000,,,,2,,Y,보철,행위,치과의 보철료,,,,"임플란트 지지의치, 복잡",1068
,600000,,,,2,,Y,보철,행위,치과의 보철료,,,,"코누스 텔레스코픽 내,외관 금합금",1069
,500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"코누스 텔레스코픽 내,외관 PD합금",1070
,620000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식치금관, 슈퍼골드",1071
,660000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식치금관, 백금가공",1072
,150000,,,,2,,Y,보철,행위,치과의 보철료,,,,"임시치, 복잡",1073
,700000,,,,2,,Y,보철,행위,치과의 보철료,,,,"코누스 텔레스코픽 내,외관 백금합금",1074
,550000,,,,2,,Y,보철,행위,치과의 보철료,,,,"코누스 텔레스코픽 내,외관 비귀금속",1075
,150000,,,,2,,Y,보철,행위,치과의 보철료,,,,세미리지드 연결체,1076
,1800000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 혼합형틀니,Titanium,Fixture 5ea,",1077
,2100000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 혼합형틀니 ,Titanium,Fixture 6ea",1078
,1200000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 헤더바,Fixture 2ea",1079
,650000,,,,2,,Y,보철,행위,치과의 보철료,,,,"코누스 텔레스코픽 내,외관 귀금속",1080
,1500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 헤더바,Fixture 3ea",1081
,1800000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 헤더바,Fixture 4ea",1082
,1500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 밀드바,Gold,Fixture 3ea",1083
,520000,,,,2,,Y,보철,행위,치과의 보철료,,,,"도재소부전장관, 무깃, 귀금속",1084
,470000,,,,2,,Y,보철,행위,치과의 보철료,,,,"전부도재관, 전세라믹",1085
,290000,,,,2,,Y,보철,행위,치과의 보철료,,,,"주조관, 메리랜드, 비귀금속",1086
,370000,,,,2,,Y,보철,행위,치과의 보철료,,,,"금주조관, 메리랜드, 귀금속",1087
,270000,,,,2,,Y,보철,행위,치과의 보철료,,,,"인레이, 포세라인 or  레진, 단순",1088
,800000,,,,2,,Y,보철,행위,치과의 보철료,,,,매식치 귀금속 도재관,1089
,1800000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 밀드바,Titanium,Fixture 6ea",1090
,570000,,,,2,,Y,보철,행위,치과의 보철료,,,,매식치  A-gold 도재관,1091
,280000,,,,2,,Y,보철,행위,치과의 보철료,,,,"ERA,1ea",1092
,350000,,,,2,,Y,보철,행위,치과의 보철료,,,,"Magnetic,1ea",1093
,350000,,,,2,,Y,보철,행위,치과의 보철료,,,,"인레이, 귀금속, 복잡",1094
,1900000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 밀드바,Gold,Fixture 4ea",1095
,600000,,,,2,,Y,보철,행위,치과의 보철료,,,,매식치 비귀금속 도재관,1096
,2500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 혼합형틀니 ",1097
,1150000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 헤더바",1098
,430000,,,,2,,Y,보철,행위,치과의 보철료,,,,임시 가철성 국소의치,1099
,1400000,,,,2,,Y,보철,행위,치과의 보철료,,,,"어태치먼트 국소 의치, 간단",1100
,1600000,,,,2,,Y,보철,행위,치과의 보철료,,,,"어태치먼트 국소 의치, 복잡",1101
,1600000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 밀드바,Titanium,Fixture 5ea",1102
,800000,,,,2,,Y,보철,행위,치과의 보철료,,,,"캐드캠 세라믹 크라운,임플란트용(복잡)",1103
,400000,,,,2,,Y,보철,행위,치과의 보철료,,,,Locator,1104
,160000,,,,2,,Y,보철,행위,치과의 보철료,,,,Spark elosin,1105
,1500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 혼합형틀니,Titanium,Fixture 4ea",1106
,220000,,,,2,,Y,보철,행위,치과의 보철료,,,,"포스트관, 그래스화이버",1107
,600000,,,,2,,Y,보철,행위,치과의 보철료,,,,"편측 가철성국소의치, 비귀금속",1108
,450000,,,,2,,Y,보철,행위,치과의 보철료,,,,"도재소부전장관, 귀금속, B",1109
,380000,,,,2,,Y,보철,행위,치과의 보철료,,,,"도재소부전장관, 무깃, 비귀금속 ",1110
,1600000,,,,2,,Y,보철,행위,치과의 보철료,,,,"치아지지가철성의치, 간단",1111
,250000,,,,2,,Y,보철,행위,치과의 보철료,,,,"주조관, N-C 합금",1112
,700000,,,,2,,Y,보철,행위,치과의 보철료,,,,"캐드캠 세라믹 크라운,임플란트용(단순)",1113
,300000,,,,2,,Y,보철,행위,치과의 보철료,,,,"인레이, 귀금속, 단순",1114
,400000,,,,2,,Y,보철,행위,치과의 보철료,,,,"전부도재관, 순면버니어",1115
,350000,,금함량 46%,,2,,Y,보철,행위,치과의 보철료,,,,"주조금관, Pd 합금",1116
,520000,,,,2,,Y,보철,행위,치과의 보철료,,,,"도재소부전장관, 귀금속, A",1117
,1500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"임플란트 지지의치, 단순",1118
,880000,,,,2,,Y,보철,행위,치과의 보철료,,,,"테레스코픽 국소 의치, 간단",1119
,1100000,,,,2,,Y,보철,행위,치과의 보철료,,,,"테레스코픽 국소 의치, 복잡",1120
,190000,,,,2,,Y,보철,행위,치과의 보철료,,,,"의치 이장술, 간접법, 단순",1121
,300000,,,,2,,Y,보철,행위,치과의 보철료,,,,"부착장치, 단순",1122
,500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"로케이터,G",1123
,440000,,,,2,,Y,보철,행위,치과의 보철료,,,,"부착장치, 복잡 ",1124
,260000,,,,2,,Y,보철,행위,치과의 보철료,,,,"포스트관, 귀금속, 복잡",1125
,180000,,,,2,,Y,보철,행위,치과의 보철료,,,,"포스트관, 파라 포스트",1126
,900000,,,,2,,Y,보철,행위,치과의 보철료,,,,"Flexible denture (비귀금속),복잡",1127
,350000,,,,2,,Y,보철,행위,치과의 보철료,,,,"부착장치, 보통",1128
,350000,,,,2,,Y,보철,행위,치과의 보철료,,,,F.D. Temporary,1129
,400000,,,,2,,Y,보철,행위,치과의 보철료,,,,즉시 or 임시폐쇄장치,1130
,340000,,,,2,,Y,보철,행위,치과의 보철료,,,,자석장치,1131
,1200000,,,,2,,Y,보철,행위,치과의 보철료,,,,"가철성 국소의치, 비귀금속",1132
,1400000,,,,2,,Y,보철,행위,치과의 보철료,,,,"가철성 국소의치, 고주파 비귀금속",1133
,1400000,,,,2,,Y,보철,행위,치과의 보철료,,,,"총의치, 비귀금속편, 망사",1134
,1600000,,,,2,,Y,보철,행위,치과의 보철료,,,,"총의치, 귀금속편",1135
,1200000,,,,2,,Y,보철,행위,치과의 보철료,,,,"총의치, 레진상",1136
,600000,,,,2,,Y,보철,행위,치과의 보철료,,,,"즉시총의치,망사",1137
,500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"즉치총의치,레진상",1138
,300000,,,,2,,Y,보철,행위,치과의 보철료,,,,"의치 이장술, 간접법, 복잡",1139
,2300000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 밀드바,Gold,Fixture 5ea",1140
,2700000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 밀드바,Gold,Fixture 6ea",1141
,1200000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 밀드바,Titanium,Fixture 3ea",1142
,1400000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 밀드바,Titanium,Fixture 4ea",1143
,500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 자성체",1144
,450000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 오-링, E.R.A., ",1145
,460000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, MDI",1146
,230000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술, 임시 MDI",1147
,1500000,,,,2,,Y,보철,행위,치과의 보철료,,,,"치아 매식술, 복잡, NOBEL",1148
,1450000,,,,2,,Y,보철,행위,치과의 보철료,,,,"치아 매식술, 복잡, ASTRA",1149
,1350000,,,,2,,Y,보철,행위,치과의 보철료,,,,"치아 매식술, 단순",1150
,550000,,,,2,,Y,보철,행위,치과의 보철료,,,,캐드캠 세라믹 크라운,1151
,600000,,,,2,,Y,보철,행위,치과의 보철료,,,,"교합안정장치, 복잡",1152
,1000000,,,,2,,Y,보철,행위,치과의 보철료,,,,"매식술,국산,G",1153
,460000,,금함량 72%,,2,,Y,보철,행위,치과의 보철료,,,,"주조금관, 백금합금",1154
,280000,,,,2,,Y,보철,행위,치과의 보철료,,,,"인레이, 포세라인 or  레진, 복잡",1155
BC0101BU,,,,1CC/3CC/5CC,2,,,인체조직유래 2차 가공뼈,치료재료,,,1749440,402916,RAFUGEN DBM GEL,1156
BC0101IE,380938,,,,2,,,인체조직유래 2차 가공뼈,치료재료,,,,,ORTHOBLAST ∥ PASTE,1157
BC0102QT,,,,,2,,,인체조직유래 2차 가공뼈,치료재료,,,855000,345000,BONGENER,1158
BC1202LF,65000,,,,2,,,압박고정용 SPLINT,치료재료,,,,,ALKANTIS,1159
BC5302HP,760000,,,,2,,,흡수성 골절고정용 PLATE,치료재료,,,,,INION OTPS BIODEGRADABLE DISTAL RADIUS PLATE,1160
BC5401HP,864500,,,,2,,,흡수성 MESH PLATE,치료재료,,,,,OTPS MESH PLATE,1161
BC6001HP,,,,2.8MM/3.1MM,2,,,흡수성 PLATE 고정용 SCREW ,치료재료,,,218500,147250,OTPS SCREW,1162
BC6002HP,351500,,,4.5MM,2,,,흡수성 PLATE 고정용 SCREW ,치료재료,,,,,OTPS SCREW,1163
BF0003BP,4250000,,,,2,,,척추고정용,치료재료,,,,,Activ-C/AESCULAP AG,1164
BF0001KV,4400000,,,,2,,,척추고정용,치료재료,,,,,MOBI-C WITH plug & FIT,1165
BJ4504JT,1419835,,,,2,,,혈관내영상카테타,치료재료,,,,,EAGLE EYE PLATINUM DIGITAL IVUS CATHETER,1166
BJ4801RA,489832,,,,2,,,경막외강 신경박리술용,치료재료,,,,,ST REED,1167
BJ7001OO,89900,,,,2,,,혈관 중재적 시술후 지혈용,치료재료,,,,,CLO-SUR PLUS P.A.D,1168
BJ7001CH,90000,,,,2,,,혈관중재적 시술 후 지혈용,치료재료,,,,,Quikclot Bandage,1169
BM2201IE,,,,,2,,,창상피복제,치료재료,,,122719,113860,NASOPORE,1170
BM5003EM,994,,,,2,,,"불투명.투명멸균드레싱 재료(단순, 건조드레싱류)",치료재료,,,,,STERI STRIP REINFORCED SKIN CLOSURE,1171
BM5001GA,,,,H/일반,2,,,"불투명.투명멸균드레싱 재료(단순, 건조드레싱류)",치료재료,,,1300,900,SECUEX H 압박지혈밴드,1172
BTA01011,273750,,,,2,,,양막이식술용 AMNIOTIC MEMBRANE,치료재료,,,,,AMBIO DRY2,1173
BI0631AD,440000,,,,2,,,고주파를 이용한 하비갑개 용적감소술용 재료,치료재료,,,,,COBLATION REFLEX ULTRA PLASMA WAND,1174
BZ101007,2201,,,S/ M/ L,2,,,보조기류,치료재료,,,,,TOMAS COLLAR,1175
VM060,1218,,,소아/성인,2,,,보조기류,치료재료,,,,,ARM SLING,1176
VM070,2062,,,중/대,2,,,보조기류,치료재료,,,,,CAST 신발,1177
20330,9375,,,대/중,2,,,보조기류,치료재료,,,,,CRUTCH(목발),1178
L7414221,195700,,,,2,,,치과용재료류(조직유도재생막),치료재료,,,,,BIO-GIDE(25*25),1179
L7414220,161450,,,,2,,,치과용재료류(조직유도재생막),치료재료,,,,,BIO-GIDE(13*25),1180
L7401220,73854,,,,2,,,치과용재료류(골이식재),치료재료,,,,,CANCELLOUS BIO-OSS(0.25),1181
L7401221,113300,,,,2,,,치과용재료류(골이식재),치료재료,,,,,CANCELLOUS BIO-OSS(0.5),1182
643900900,18,,,,2,,,,약제,,,,,액티피드정(삼일),1183
642100700,13,,,,2,,,,약제,,,,,삐콤정(유한),1184
662501680,11,,,,2,,,,약제,,,,,타스나정((주)넥스팜코리아),1185
653801170,18,,,,2,,,,약제,,,,,비사코딜정(신일),1186
647801830,1,,,,2,,,,약제,,,,,오스테민캅셀250mg/C(삼진),1187
645101440,410,,,,2,,,,약제,,,,,바네포연고 5g/통(대한약품),1188
652101560,1455,,,,2,,,,약제,,,,,프록토세딜연고 15G/tube(한독약품),1189
642202760,43,,,,2,,,,약제,,,,,파자임95이중정(부광),1190
659900050,455,,,,2,,,,약제,,,,,로와콜연질캅셀(한국팜비오),1191
657200370,151,,,,2,,,,약제,,,,,설간구구좌제(환인제약),1192
643601400,1200,,,,2,,,,약제,,,,,유락신연고 100mg 50g/tub(녹십자),1193
652602860,36029,,,,2,,,,약제,,,,,이소바이드액 500ml/B(근화제약(주)),1194
645000361,149473,,,,2,,,,약제,,,,,아바스틴주 100mg (한국로슈),1195
621400210,83814,,,,2,,,,약제,,,,,소노뷰주,1196
686500010,60000,,,,2,,,,약제,,,,,경피용건조BCG Vaccine-예방접종,1197
643601900,32291,,,,2,,,,약제,,,,,헤파빅주200단위/ml(근주용)-예방접종,1198
643601890,22000,,,,2,,,,약제,,,,,헤파빅주100단위/0.5ml(녹십자)-예방접종,1199
668900920,23000,,,,2,,,,약제,,,,,유박스비주 1ml(LG생명과학)-B형간염예방접종(성인용),1200
668900910,18000,,,,2,,,,약제,,,,,유박스비주 0.5ml(LG생명)-예방접종(소아용),1201
650001810,130000,,,,2,,,,약제,,,,,로타릭스((주)글락소스미스클라인)-예방접종,1202
655500030,100000,,,,2,,,,약제,,,,,로타텍액(한국MSD)-예방접종,1203
655500020,170000,,,,2,,,,약제,,,,,가다실주(머크)-예방접종,1204
646500430,100000,,,,2,,,,약제,,,,,[성인]폐렴구균(프리베나 13주:와이어스)-예방접종,1205
646500430,150000,,,,2,,,,약제,,,,,[소아]폐렴구균(프리베나 13주:와이어스)-예방접종,1206
650002730,32000,,,,2,,,,약제,,,,,PDT:인판릭스(그락소스미스클라인)-예방접종,1207
643603520,20000,,,,2,,,,약제,,,,,일본뇌염(사백신)-예방접종,1208
666700010,35000,,,,2,,,,약제,,,,,씨디제박스일본뇌염주(한국백신)-예방접종,1209
665900010,40000,,,,2,,,,약제,,,,,폐렴구균(뉴모-23:제일제당)-예방접종,1210
647400280,25000,,,,2,,,,약제,,,,,이모박스폴리오주(씨제이)-예방접종,1211
650002730,47000,,,,2,,,,약제,,,,,인판릭스-IPV 0.5ML(글락소스미스클라인)-예방접종,1212
643601160,29000,,,,2,,,,약제,,,,,녹십자수두백신(녹십자PBM)-예방접종,1213
665900120,47000,,,,2,,,,약제,,,,,테트락심주 0.5ML(한독약품)-예방접종,1214
655500270,26000,,,,2,,,,약제,,,,,엠엠알-투(SK케미칼)-예방접종,1215
650001960,40000,,,,2,,,,약제,,,,,아다셀주 0.5ML(Tdap:한독약품)-예방접종,1216
655500900,190000,,,,2,,,,약제,,,,,조스타박스주(한국엠에스디(주))_예방접종,1217
650003080,150000,,,,2,,,,약제,,,,,멘비오(수막구균)-예방접종,1218
PDZ01,10000,,국민기초생활보장법시행규칙 제35조[별지 제6호 서식],근로능력평가용진단서,2,,,,제증명수수료,,,,,일반진단서,1219
PDZ02,100000,,의료법 시행규칙 제9조 [서식5의3],전치 3주이상,2,,,,제증명수수료,,,,,상해진단서,1220
PDZ02,50000,,의료법 시행규칙 제9조 [서식5의3],전치 3주미만,2,,,,제증명수수료,,,,,상해진단서,1221
PDZ03,10000,,의료법 시행규칙 제10조 [서식6],,2,,,,제증명수수료,,,,,사망진단서,1222
PDZ04,30000,,의료법 시행규칙 제10조 [서식6],,2,,,,제증명수수료,,,,,시체검안서,1223
PDZ06,3000,,의료법 시행규칙 제11조 [서식7],"퇴원후, 1부 ",2,,,,제증명수수료,,,,,출생증명서,1224
PDZ07,15000,,장애인복지법 시행규칙 제3조 별지[서식 3] ※ 장애인등록증 발급에 필요서류,신체적장애,2,,,,제증명수수료,,,,,장애진단서,1225
PDZ07,40000,,"장애인복지법 시행규칙 제3조 별지[서식 3]
 ※ 장애인등록증 발급에 필요서류",정신지체 및 발달장애,2,,,,제증명수수료,,,,,장애진단서,1226
PDZ08,15000,,"병역법 시행규칙 제87조, 95조 [서식 106]",,2,,,,제증명수수료,,,,,병무용진단서,1227
PDZ10,6000,,국민연금법 시행규칙 제28조 [서식 21] 신청인 제출서류 - 국민연금 장애심사규정 제12조(보건복지부 고시 2011-82호; 2011.7.26) 별지[서식 3],국민연금 장해진단서,2,,,,제증명수수료,,,,,국민연금 장애심사용 진단서,1228
PDZ11,1000,,1장당,,2,,,,제증명수수료,,,,,사본발급(재발행),1229
PDZ01,10000,,국민기초생활보장법시행규칙 제35조[별지 제6호 서식],,2,,,,제증명수수료,,,,,근로능력평가용진단서,1230
,36530,,,,2,,,,제증명수수료,,,,,노인장기요양소견서,1231
,51350,,,,2,,,,제증명수수료,,,,,노인장기요양소견서[치매용],1232
